# Unlock the RIGHT and TOP border and common corner
# Row convention: first data line below = row 0 (BOTTOM), last = row 15 (TOP).
0,0,0,0, 0,0,0,0, 0,0,0,0, 0,1,1,1
0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,1,1
0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,1,1
0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,1,1
0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,1,1
0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,1,1
0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,1,1
0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,1,1
0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,1,1
0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,1,1
0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,1,1
0,0,0,0, 0,0,0,0, 0,0,0,0, 0,1,1,1
0,0,0,0, 0,0,0,0, 0,0,0,0, 1,1,1,1
0,0,0,0, 0,0,0,0, 0,0,0,1, 1,1,1,1
1,1,1,1, 1,1,1,1, 1,1,1,1, 1,1,1,1
1,1,1,1, 1,1,1,1, 1,1,1,1, 1,1,1,1
