3	0	0	1
0	0	1	4
2	3	0	0
0	3	2	0
1	13	1	0
14	2	0	1
16	1	0	1
16	5	0	1
0	1	8	3
19	4	0	1
0	1	20	2
1	21	4	0
21	5	0	1
4	0	1	15
1	0	2	14
6	3	0	2
5	0	2	17
0	2	9	5
19	2	0	2
20	2	0	2
0	2	10	4
11	1	0	2
0	2	11	5
1	0	2	12
2	15	1	0
2	0	3	13
13	3	0	3
0	3	14	3
6	3	0	3
3	19	5	0
3	20	2	0
3	0	3	12
21	2	0	3
21	4	0	3
5	0	3	22
4	0	3	18
1	0	4	6
4	7	5	0
0	4	8	5
0	4	9	2
0	4	9	3
4	20	1	0
20	2	0	4
3	0	4	20
10	1	0	4
4	12	4	0
4	0	4	21
0	4	22	4
5	13	5	0
0	5	14	1
2	0	5	14
1	0	5	16
0	5	19	4
5	10	4	0
5	10	5	0
21	3	0	5
5	22	1	0
0	5	22	5
15	2	0	5
5	18	3	0
6	13	13	16
17	19	13	13
7	13	14	14
13	6	13	21
6	18	13	6
6	17	17	13
6	8	14	13
16	13	6	12
6	18	21	13
7	7	19	13
11	13	7	19
13	8	17	6
20	10	13	8
12	20	13	8
7	13	8	21
20	13	9	17
13	9	9	20
19	7	22	13
13	19	12	7
13	19	22	15
13	20	9	6
6	6	13	10
10	8	10	13
11	6	9	13
13	11	16	17
21	11	13	11
22	12	13	11
13	15	13	12
13	12	16	18
12	10	22	13
11	13	21	8
9	20	13	21
9	10	13	21
15	13	21	10
13	21	11	17
15	15	7	13
9	13	18	10
13	18	12	21
15	16	13	18
18	15	13	18
14	11	20	14
14	14	11	22
9	14	14	22
14	18	16	14
10	20	14	6
21	14	16	7
16	9	21	14
14	16	10	20
14	16	22	8
20	11	14	17
11	20	14	17
12	9	14	7
7	12	22	14
10	14	8	17
14	8	19	11
8	11	8	14
8	18	22	14
9	7	15	14
14	19	22	11
18	14	20	21
14	10	17	18
22	14	12	16
14	12	17	9
20	14	12	12
18	14	21	11
14	21	15	20
22	17	16	14
15	14	22	9
22	10	7	14
12	21	14	22
12	14	15	16
15	11	17	14
22	14	18	17
14	18	8	10
7	14	18	10
14	18	22	12
19	6	6	12
7	6	16	16
6	16	16	8
16	16	11	6
9	15	6	16
16	6	16	20
22	11	6	16
16	15	15	6
10	6	17	7
11	6	7	6
18	6	7	6
7	17	6	7
20	11	6	7
8	6	9	16
6	9	10	18
6	19	8	8
8	9	6	19
19	18	22	6
10	19	19	6
19	11	6	10
6	10	18	19
12	19	22	6
16	6	12	21
15	6	21	15
12	6	22	16
17	12	6	22
20	8	6	18
10	22	6	18
17	7	10	16
21	16	17	10
8	7	7	16
16	9	8	20
9	15	16	9
16	19	10	21
12	22	16	19
15	8	16	19
16	20	20	20
20	11	12	16
15	16	10	19
19	9	16	11
10	16	12	17
22	16	21	11
20	16	21	21
22	19	22	16
22	16	15	8
8	16	15	19
21	17	17	9
19	17	7	18
17	8	9	11
8	21	21	17
15	19	17	9
15	17	19	17
19	7	9	17
19	22	9	17
17	20	7	7
17	20	20	12
17	10	8	19
8	17	11	15
18	17	11	15
17	11	18	20
18	17	12	8
21	17	12	9
17	12	12	12
9	7	17	21
15	21	17	22
17	22	18	19
9	17	15	11
21	17	15	11
7	17	15	22
15	17	15	18
7	7	18	19
7	8	9	18
8	21	20	7
8	9	7	19
22	20	7	19
7	20	7	22
21	7	10	21
7	11	7	12
7	11	10	18
11	18	15	7
12	9	20	7
7	22	10	11
15	8	10	7
22	7	18	8
18	15	15	7
18	15	18	7
18	8	8	11
8	12	19	8
22	20	8	8
20	8	19	9
11	8	19	11
10	9	21	8
12	19	18	8
12	22	21	8
12	8	21	11
8	21	11	15
9	9	12	9
22	10	9	19
10	19	10	9
19	12	9	10
10	11	20	9
9	11	10	22
9	12	20	18
9	12	15	20
9	21	19	15
21	10	15	9
11	19	20	20
12	21	19	20
10	18	12	19
22	18	19	15
15	18	20	20
10	11	10	20
15	20	11	10
12	22	15	20
18	21	10	10
10	11	21	11
21	22	12	11
22	15	22	12
22	18	12	18
18	21	18	15
